id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[2000, 400]__batch1024_model[128, 16, 32][32, 8]_0_do[0.0, 0.0]_lr[0.01]_binary",0,1024.0,"[2000, 400]",,"[128, 16, 32]","[32, 8]","[0.0, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 87.56, hss2:  72.21, cm: [[1752, 221], [5, 399]])","Metric(tss: 79.11, hss2:  13.98, cm: [[265555, 59396], [163, 6071]])"
"train(n)[1200, 1000]__batchNone_model[64, 32, 128][64, 16]_0_do[0.6000000000000001, 0.6000000000000001]_lr[0.01]_binary",0,,,"[1200, 1000]","[64, 32, 128]","[64, 16]","[0.6000000000000001, 0.6000000000000001]",0,"[0.2, 0.8]",0.01,"Metric(tss: 71.18, hss2:  69.51, cm: [[865, 327], [14, 994]])","Metric(tss: 70.36, hss2:  9.14, cm: [[239569, 85382], [210, 6024]])"
"train(k)[400, 1000]__batch1024_model[16, 16, 16][16, 32]_0_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[400, 1000]",,"[16, 16, 16]","[16, 32]","[0.2, 0.6000000000000001]",0,"[0.3, 0.7]",0.01,"Metric(tss: 90.47, hss2:  89.76, cm: [[381, 24], [35, 937]])","Metric(tss: 41.92, hss2:  2.65, cm: [[136673, 188278], [9, 6225]])"
"train(k)[2000, 800]__batch1024_model[32, 64, 128][32, 16]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,1024.0,"[2000, 800]",,"[32, 64, 128]","[32, 16]","[0.6000000000000001, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 89.04, hss2:  84.09, cm: [[1415, 167], [3, 738]])","Metric(tss: 80.94, hss2:  21.51, cm: [[259532, 31572], [454, 5072]])"
"train(k)[1200, 200]__batch1024_model[16, 32, 64][16, 16]_None_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[1200, 200]",,"[16, 32, 64]","[16, 16]","[0.4, 0.6000000000000001]",,"[0.2, 0.8]",0.01,"Metric(tss: 84.30, hss2:  62.34, cm: [[831, 148], [1, 171]])","Metric(tss: 75.97, hss2:  18.24, cm: [[254800, 36304], [639, 4887]])"
"train(k)[2400, 1200]__batch128_model[16, 128, 64][32, 16]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[2400, 1200]",,"[16, 128, 64]","[32, 16]","[0.2, 0.6000000000000001]",avg,,0.01,"Metric(tss: 88.48, hss2:  83.37, cm: [[2218, 253], [14, 1076]])","Metric(tss: 64.31, hss2:  6.42, cm: [[210239, 114712], [24, 6210]])"
"train(n)[2000, 1000]__batch128_model[128, 32, 32][16, 16]_avg_do[0.0, 0.2]_lr[0.01]_binary",0,128.0,,"[2000, 1000]","[128, 32, 32]","[16, 16]","[0.0, 0.2]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 84.32, hss2:  80.84, cm: [[1755, 225], [44, 976]])","Metric(tss: 79.38, hss2:  15.78, cm: [[273419, 51532], [297, 5937]])"
"train(n)[3600, 1400]__batch128_model[32, 64, 64][16, 0]_0_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,,"[3600, 1400]","[32, 64, 64]","[16, 0]","[0.4, 0.4]",0,,0.01,"Metric(tss: 83.13, hss2:  77.69, cm: [[3162, 410], [77, 1351]])","Metric(tss: 82.22, hss2:  21.23, cm: [[288030, 36921], [400, 5834]])"
"train(n)[1200, 600]__batchNone_model[16, 64, 16][16, 8]_None_do[0.4, 0.2]_lr[0.01]_binary",0,,,"[1200, 600]","[16, 64, 16]","[16, 8]","[0.4, 0.2]",,"[0.4, 0.6]",0.01,"Metric(tss: 86.46, hss2:  83.53, cm: [[964, 98], [23, 510]])","Metric(tss: 78.04, hss2:  23.53, cm: [[264308, 26796], [705, 4821]])"
"train(k)[4000, 1200]__batch128_model[32, 64, 32][16, 16]_avg_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,"[4000, 1200]",,"[32, 64, 32]","[16, 16]","[0.4, 0.4]",avg,,0.01,"Metric(tss: 89.27, hss2:  80.22, cm: [[3604, 379], [14, 1137]])","Metric(tss: 64.62, hss2:  7.83, cm: [[232339, 92612], [429, 5805]])"
